2 1 297
2 168 231
2 169 175
2 181 283
3 217 30 200
3 35 215 21
3 55 129 256
3 109 285 239
3 86 103 266
3 117 29 197
3 276 242 224
3 88 245 32
3 42 173 267
3 185 41 243
3 165 205 251
3 250 218 293
3 100 147 79
3 213 240 265
3 111 122 107
3 89 223 52
3 76 203 13
3 104 186 290
3 81 15 116
3 73 65 153
3 5 123 56
3 9 272 156
3 8 83 142
3 295 51 60
3 149 69 183
3 135 158 68
3 163 255 105
3 260 296 146
3 160 112 193
3 287 159 143
3 247 27 72
3 300 269 44
3 204 244 177
3 25 208 281
3 134 210 155
3 211 237 229
3 63 12 67
3 162 4 253
3 128 28 101
3 14 87 216
3 261 259 18
3 277 171 289
3 137 90 298
3 221 254 31
3 93 192 121
3 96 62 127
3 59 164 257
3 138 178 207
3 291 299 252
3 228 161 263
3 194 118 48
3 16 110 232
3 219 198 280
3 274 74 187
3 151 196 98
3 286 238 234
3 226 23 230
3 108 24 273
3 75 115 144
3 145 141 38
3 57 49 241
3 106 7 2
3 19 148 195
3 172 270 271
3 188 191 136
3 264 77 70
3 39 43 47
3 64 91 95
3 126 102 124
3 157 284 294
3 262 26 190
3 61 11 209
3 201 94 179
3 58 236 50
3 20 71 85
3 199 132 154
3 214 120 279
3 268 202 174
3 45 84 10
3 130 119 78
3 80 288 53
3 246 139 258
3 227 6 212
3 22 82 152
3 114 99 248
3 225 17 150
3 92 140 170
3 233 125 133
3 167 206 275
3 97 249 176
3 189 46 3
3 40 292 166
3 54 113 184
3 278 182 131
2 282 220
2 33 36
