2 0 296
2 167 230
2 168 174
2 180 282
3 216 29 199
3 34 214 20
3 54 128 255
3 108 284 238
3 85 102 265
3 116 28 196
3 275 241 223
3 87 244 31
3 41 172 266
3 184 40 242
3 164 204 250
3 249 217 292
3 99 146 78
3 212 239 264
3 110 121 106
3 88 222 51
3 75 202 12
3 103 185 289
3 80 14 115
3 72 64 152
3 4 122 55
3 8 271 155
3 7 82 141
3 294 50 59
3 148 68 182
3 134 157 67
3 162 254 104
3 259 295 145
3 159 111 192
3 286 158 142
3 246 26 71
3 299 268 43
3 203 243 176
3 24 207 280
3 133 209 154
3 210 236 228
3 62 11 66
3 161 3 252
3 127 27 100
3 13 86 215
3 260 258 17
3 276 170 288
3 136 89 297
3 220 253 30
3 92 191 120
3 95 61 126
3 58 163 256
3 137 177 206
3 290 298 251
3 227 160 262
3 193 117 47
3 15 109 231
3 218 197 279
3 273 73 186
3 150 195 97
3 285 237 233
3 225 22 229
3 107 23 272
3 74 114 143
3 144 140 37
3 56 48 240
3 105 6 1
3 18 147 194
3 171 269 270
3 187 190 135
3 263 76 69
3 38 42 46
3 63 90 94
3 125 101 123
3 156 283 293
3 261 25 189
3 60 10 208
3 200 93 178
3 57 235 49
3 19 70 84
3 198 131 153
3 213 119 278
3 267 201 173
3 44 83 9
3 129 118 77
3 79 287 52
3 245 138 257
3 226 5 211
3 21 81 151
3 113 98 247
3 224 16 149
3 91 139 169
3 232 124 132
3 166 205 274
3 96 248 175
3 188 45 2
3 39 291 165
3 53 112 183
3 277 181 130
2 281 219
2 32 35
